NAME                                   IMAGE                                                                     COMMAND                  SERVICE                       CREATED             STATUS                       PORTS
lawapp-backend-1                       lawapp-backend                                                            "bash /app/scripts/b"   backend                       20 hours ago        Up 20 hours (healthy)        0.0.0.0:8000->8000/tcp, [::]:8000->8000/tcp
lawapp-db-1                            pgvector/pgvector:pg16                                                    "docker-entrypoint.s"   db                            5 days ago          Up 23 hours (healthy)        0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp, 0.0.0.0:5435->5432/tcp, [::]:5435->5432/tcp
lawapp-lawapp-admin-service-1          lawapp-lawapp-admin-service                                               "uvicorn main:app --"   lawapp-admin-service          5 days ago          Up 23 hours (healthy)        0.0.0.0:8007->8007/tcp, [::]:8007->8007/tcp
lawapp-lawapp-audit-service-1          lawapp-lawapp-audit-service                                               "python main.py"         lawapp-audit-service          5 days ago          Up 23 hours (healthy)        0.0.0.0:8020->8020/tcp, [::]:8020->8020/tcp
lawapp-lawapp-case-service-1           lawapp-lawapp-case-service                                                "uvicorn main:app --"   lawapp-case-service           5 days ago          Up 23 hours (healthy)        0.0.0.0:8008->8008/tcp, [::]:8008->8008/tcp
lawapp-lawapp-graph-rag-service-1      sha256:25759a492721575386dafc69f9ff047575729fb84f095da486381e55ec50b463   "python -m uvicorn m"   lawapp-graph-rag-service      5 days ago          Up 23 hours (healthy)        0.0.0.0:8018->8018/tcp, [::]:8018->8018/tcp
lawapp-lawapp-notification-service-1   lawapp-lawapp-notification-service                                        "uvicorn main:app --"   lawapp-notification-service   5 days ago          Up 23 hours (healthy)        0.0.0.0:8009->8009/tcp, [::]:8009->8009/tcp
lawapp-lawapp-rag-service-1            lawapp-lawapp-rag-service                                                 "python -m uvicorn m"   lawapp-rag-service            About an hour ago   Up About an hour (healthy)   0.0.0.0:8017->8017/tcp, [::]:8017->8017/tcp
lawapp-lawapp-redaction-service-1      lawapp-lawapp-redaction-service                                           "python main.py"         lawapp-redaction-service      5 days ago          Up 23 hours (healthy)        0.0.0.0:8019->8019/tcp, [::]:8019->8019/tcp
lawapp-lawapp-rules-service-1          lawapp-lawapp-rules-service                                               "python main.py"         lawapp-rules-service          5 days ago          Up 23 hours (healthy)        0.0.0.0:8016->8016/tcp, [::]:8016->8016/tcp
lawapp-outbox-worker-1                 lawapp-outbox-worker                                                      "python -m backend.c"   outbox-worker                 3 days ago          Up 23 hours (healthy)        8000/tcp
lawapp-redis-1                         redis:7-alpine                                                            "docker-entrypoint.s"   redis                         5 days ago          Up 23 hours (healthy)        0.0.0.0:6379->6379/tcp, [::]:6379->6379/tcp
