NAME                     STATUS   AGE
aia-dev                  Active   9d
aia-dev-monitoring       Active   8d
aia-dev-security         Active   8d
aia-dev-storage          Active   8d
ayosh                    Active   3d1h
ayosh-prod               Active   3d2h
cert-manager             Active   6d13h
default                  Active   9d
hermes-ai                Active   5d19h
hermes-data              Active   5d19h
hermes-monitoring        Active   5d19h
hermes-observability     Active   4d2h
hermes-prod              Active   5d19h
hermes-security          Active   5d19h
ingress-nginx            Active   2d17h
iterlaw-ai               Active   47h
jzi-prod                 Active   2d17h
kite-system              Active   4d12h
kube-node-lease          Active   9d
kube-public              Active   9d
kube-system              Active   9d
lawapp-ai                Active   30h
lawapp-api               Active   30h
lawapp-monitoring        Active   30h
lawapp-rag               Active   30h
lawapp-security          Active   30h
local-path-storage       Active   9d
ns-agent-admin-bot       Active   4d19h
ns-agent-ayosh           Active   4d1h
ns-agent-forensics-bot   Active   4d21h
ns-agent-jordan-bot      Active   4d11h
ns-agent-legal-bot       Active   4d1h
ns-agent-manager         Active   4d13h
ns-agent-palestine       Active   4d11h
ns-agent-palestine-bot   Active   4d11h
ns-agent-prof-urszula    Active   4d2h
ns-agent-research-bot    Active   4d19h
ns-agent-test-bot        Active   4d14h
ns-app-hermes            Active   4d21h
observability            Active   4d21h
openclaw                 Active   7d23h
openclaw-ai              Active   9d
opencode                 Active   8d
ordinox-agent-runtime    Active   2d14h
ordinox-edge             Active   2d17h
ordinox-logging          Active   4d22h
ordinox-monitoring       Active   4d22h
ordinox-terminal         Active   30h
ordinoxai-edge           Active   8d
ordinoxai-factory        Active   2d15h
ordinoxai-factory-dev    Active   2d10h
ordinoxai-prod           Active   9d
sakina                   Active   2d15h
sakina-api               Active   85m
sakina-audit             Active   85m
sakina-core              Active   85m
sakina-data              Active   85m
sakina-dev               Active   8d
sakina-ingress           Active   8d
sakina-mobile-staging    Active   47h
sakina-monitoring        Active   8d
sakina-prod              Active   8d
sakina-security          Active   8d
sakina-staging           Active   8d
supabase                 Active   9d
