NAMESPACE                NAME                                                     READY   STATUS                       RESTARTS           AGE
aia-dev-storage          minio-dev-59948d75f6-fngj2                               1/1     Running                      0                  8d
aia-dev                  aia-dev-web-566bcf447-g64c4                              1/1     Running                      0                  8d
aia-dev                  aia-ollama-dev-cpu-6c5f6ff4b-nnxhn                       1/1     Running                      0                  8d
aia-dev                  aia-orchestrator-dev-worker-8f6b7f596-949wb              1/1     Running                      0                  8d
aia-dev                  aia-qdrant-74cd89547c-z6tlh                              1/1     Running                      0                  4d23h
aia-dev                  aia-rag-dev-worker-5c8d56665c-4m26p                      1/1     Running                      0                  8d
aia-dev                  aia-redis-d687f9b66-28s4r                                1/1     Running                      0                  7d20h
aia-dev                  aia-terminal-6475555d8b-44b9s                            1/1     Running                      0                  9d
aia-dev                  dns-test                                                 1/1     Running                      0                  7d20h
aia-dev                  dns-test-aia                                             1/1     Running                      0                  7d20h
ayosh-prod               ayosh-minio-6b66d857b8-wvzqc                             1/1     Running                      0                  3d2h
ayosh-prod               ayosh-postgres-599d66fc5c-mn87g                          1/1     Running                      0                  3d2h
ayosh-prod               ayosh-professor-chat-runtime-v2-6748cff878-mf2dn         1/1     Running                      0                  3d2h
ayosh-prod               ayosh-public-7754586588-wtcqf                            1/1     Running                      0                  3d2h
ayosh-prod               ayosh-qdrant-6bdbd87c58-mbb5g                            1/1     Running                      0                  3d2h
ayosh-prod               ayosh-rag-runtime-58fb8cb79-45d2b                        1/1     Running                      0                  3d2h
ayosh-prod               ayosh-redis-787c89765f-wxhmq                             1/1     Running                      0                  3d2h
ayosh                    ayosh-rag-memory-58f974c6ff-5p2hs                        1/1     Running                      0                  3d1h
ayosh                    ayosh-research-db-575b989b6f-q96kf                       1/1     Running                      0                  3d1h
ayosh                    ayosh-runtime-5858d975c8-45xzs                           1/1     Running                      0                  3d1h
ayosh                    ayosh-web-8698d9d557-bq7hc                               1/1     Running                      0                  2d19h
cert-manager             cert-manager-5fcb9844ff-zhj84                            1/1     Running                      0                  6d13h
cert-manager             cert-manager-cainjector-7969cb9988-vhswr                 1/1     Running                      0                  6d13h
cert-manager             cert-manager-webhook-668b969bf7-m6p58                    1/1     Running                      0                  6d13h
default                  free-tunnel-6646d98d76-h8nst                             1/1     Running                      0                  27h
default                  openrouter-dev-workspace-7f5ddd5f-78bwh                  1/1     Running                      0                  27h
hermes-data              hermes-postgres-0                                        1/1     Running                      0                  5d19h
hermes-data              hermes-redis-ff697d996-r5bzr                             1/1     Running                      0                  5d19h
hermes-observability     alertmanager-hermes-monitoring-kube-pro-alertmanager-0   2/2     Running                      0                  4d
hermes-observability     hermes-loki-0                                            1/1     Running                      0                  2d19h
hermes-observability     hermes-monitoring-grafana-8bcb85cdc-swvwt                3/3     Running                      0                  4d1h
hermes-observability     hermes-monitoring-kube-pro-operator-68c58f77c-dqcr6      1/1     Running                      0                  4d1h
