NAMESPACE                NAME                                                     READY   STATUS                       RESTARTS           AGE     IP                NODE                    NOMINATED NODE   READINESS GATES
aia-dev-storage          minio-dev-59948d75f6-fngj2                               1/1     Running                      0                  12d     10.244.0.42       talos-h93-b9x           <none>           <none>
aia-dev                  aia-dev-web-566bcf447-g64c4                              1/1     Running                      0                  12d     10.244.0.45       talos-h93-b9x           <none>           <none>
aia-dev                  aia-ollama-dev-cpu-6c5f6ff4b-nnxhn                       1/1     Running                      0                  12d     10.244.0.43       talos-h93-b9x           <none>           <none>
aia-dev                  aia-orchestrator-dev-worker-8f6b7f596-949wb              1/1     Running                      0                  12d     10.244.0.40       talos-h93-b9x           <none>           <none>
aia-dev                  aia-qdrant-74cd89547c-z6tlh                              1/1     Running                      0                  8d      10.244.0.196      talos-h93-b9x           <none>           <none>
aia-dev                  aia-rag-dev-worker-5c8d56665c-4m26p                      1/1     Running                      0                  12d     10.244.0.41       talos-h93-b9x           <none>           <none>
aia-dev                  aia-redis-d687f9b66-28s4r                                1/1     Running                      0                  11d     10.244.0.151      talos-h93-b9x           <none>           <none>
aia-dev                  aia-terminal-6475555d8b-44b9s                            1/1     Running                      0                  12d     10.244.0.9        talos-h93-b9x           <none>           <none>
aia-dev                  dns-test                                                 1/1     Running                      0                  11d     10.244.0.150      talos-h93-b9x           <none>           <none>
aia-dev                  dns-test-aia                                             1/1     Running                      0                  11d     10.244.0.154      talos-h93-b9x           <none>           <none>
ayosh-prod               ayosh-minio-6b66d857b8-wvzqc                             1/1     Running                      0                  6d10h   10.244.0.138      talos-h93-b9x           <none>           <none>
ayosh-prod               ayosh-postgres-599d66fc5c-mn87g                          1/1     Running                      0                  6d10h   10.244.0.135      talos-h93-b9x           <none>           <none>
ayosh-prod               ayosh-professor-chat-runtime-v2-6748cff878-mf2dn         1/1     Running                      0                  6d10h   10.244.0.141      talos-h93-b9x           <none>           <none>
ayosh-prod               ayosh-public-7754586588-wtcqf                            1/1     Running                      0                  6d10h   10.244.0.143      talos-h93-b9x           <none>           <none>
ayosh-prod               ayosh-qdrant-6bdbd87c58-mbb5g                            1/1     Running                      0                  6d10h   10.244.0.136      talos-h93-b9x           <none>           <none>
ayosh-prod               ayosh-rag-runtime-58fb8cb79-45d2b                        1/1     Running                      0                  6d10h   10.244.0.140      talos-h93-b9x           <none>           <none>
ayosh-prod               ayosh-redis-787c89765f-wxhmq                             1/1     Running                      0                  6d10h   10.244.0.133      talos-h93-b9x           <none>           <none>
