NAMESPACE               LAST SEEN   TYPE      REASON                    OBJECT                                                   MESSAGE
lawapp-monitoring       15m         Warning   FailedScheduling          pod/lawapp-smoke-test-29679930-gpprq                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-ai               18m         Warning   FailedScheduling          pod/lawapp-rules-engine-f7755b979-vqfh2                  0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-rag              18m         Warning   FailedScheduling          pod/lawapp-crawler-6658f7998c-nmr2r                      0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       8m12s       Warning   FailedScheduling          pod/lawapp-smoke-test-29680680-x76jm                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       13m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680680-x76jm                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       17m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680665-vz7jm                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       28m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680665-vz7jm                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       17m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680650-vvzpz                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       43m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680650-vvzpz                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       17m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680635-xtb8s                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       58m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680635-xtb8s                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       17m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680620-5ftl4                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       17m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680605-8d9h9                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-ai               8m35s       Normal    Scheduled                 pod/lawapp-brain-77c87685b6-xk7x8                        Successfully assigned lawapp-ai/lawapp-brain-77c87685b6-xk7x8 to talos-5h3-83r
lawapp-monitoring       17m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680590-t2dzw                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       17m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680575-t46m6                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       17m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680560-ll9nv                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
lawapp-monitoring       17m         Warning   FailedScheduling          pod/lawapp-smoke-test-29680545-9qhnw                     0/3 nodes are available: 1 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
