--- lawapp-ai ---
lawapp-brain-7f648cbf56-26lld 1/1 Running 0
lawapp-document-service-b88c5f49b-k6cs2 1/1 Running 0
lawapp-llm-gateway-75fdbcbb64-hxrsk 1/1 Running 0
lawapp-reasoning-worker-7fb687b57c-qxplr 0/1 CrashLoopBackOff 2
lawapp-rules-engine-76554dc996-9pmng 1/1 Running 0
ollama-inference-6gj24 1/1 Running 0
ollama-inference-cm2s7 1/1 Running 0
ollama-inference-d485m 1/1 Running 0
--- lawapp-api ---
lawapp-backend-c8f4f55b5-v8lnn 1/1 Running 0
lawapp-postgres-0 1/1 Running 0
test-db-connectivity 1/1 Running 0
--- lawapp-rag ---
lawapp-backup-proof-26bvp 0/1 Error 0
lawapp-backup-proof-29vkd 0/1 Error 0
lawapp-backup-proof-7cmpm 0/1 Error 0
lawapp-backup-proof-btnzg 0/1 Error 0
lawapp-backup-proof-gh5f8 0/1 Error 0
lawapp-backup-proof-hmnj5 0/1 Error 0
lawapp-backup-proof-svl76 0/1 Error 0
lawapp-backup-restore-proof-6b2sq 0/1 Error 0
lawapp-backup-restore-proof-bts4m 0/1 Error 0
lawapp-backup-restore-proof-frvqx 0/1 Error 0
lawapp-backup-restore-proof-fv259 0/1 Error 0
lawapp-backup-restore-proof-hm9rz 0/1 Error 0
lawapp-backup-restore-proof-hw87c 0/1 Error 0
lawapp-backup-restore-proof-m4vz5 0/1 Error 0
lawapp-crawler-86787df7b8-2jsk8 1/1 Running 0
lawapp-postgres-0 1/1 Running 0
lawapp-rag-ingestion-77c8c7cfbb-ltcrb 1/1 Running 0
lawapp-rag-retrieval-67877c778b-t5jmm 1/1 Running 0
lawapp-worker-c84989df6-gt4lg 1/1 Running 0
