NAMESPACE                NAME                                                     READY   STATUS                       RESTARTS           AGE     IP                NODE                    NOMINATED NODE   READINESS GATES
iterlaw-ai               lawapp-backend-5df7848d8c-v78jm                          1/1     Running                      0                  4d10h   10.244.5.226      talos-138-201-202-174   <none>           <none>
iterlaw-ai               lawapp-backend-c6d98978f-g8prz                           0/1     InvalidImageName             0                  2d14h   10.244.4.201      talos-5h3-83r           <none>           <none>
iterlaw-ai               lawapp-embed-corpus-4ltgd                                0/1     InvalidImageName             0                  2d14h   10.244.4.202      talos-5h3-83r           <none>           <none>
iterlaw-ai               lawapp-postgres-6c97965775-jp8qv                         1/1     Running                      0                  5d9h    10.244.4.20       talos-5h3-83r           <none>           <none>
lawapp-ai                lawapp-brain-5cd8d84655-qf7pr                            1/1     Running                      0                  3m40s   10.244.4.241      talos-5h3-83r           <none>           <none>
lawapp-ai                lawapp-document-service-b88c5f49b-k6cs2                  1/1     Running                      0                  25h     10.244.0.55       talos-h93-b9x           <none>           <none>
lawapp-ai                lawapp-llm-gateway-75fdbcbb64-hxrsk                      1/1     Running                      0                  25h     10.244.5.44       talos-138-201-202-174   <none>           <none>
lawapp-ai                lawapp-rules-engine-76554dc996-9pmng                     1/1     Running                      0                  44m     10.244.4.240      talos-5h3-83r           <none>           <none>
lawapp-ai                ollama-inference-6gj24                                   1/1     Running                      0                  42h     10.244.5.55       talos-138-201-202-174   <none>           <none>
lawapp-ai                ollama-inference-cm2s7                                   1/1     Running                      0                  42h     10.244.0.170      talos-h93-b9x           <none>           <none>
lawapp-ai                ollama-inference-d485m                                   1/1     Running                      0                  42h     10.244.4.38       talos-5h3-83r           <none>           <none>
lawapp-api               lawapp-backend-c8f4f55b5-v8lnn                           1/1     Running                      0                  44m     10.244.5.177      talos-138-201-202-174   <none>           <none>
lawapp-api               lawapp-postgres-0                                        1/1     Running                      0                  3d11h   10.244.4.40       talos-5h3-83r           <none>           <none>
lawapp-api               test-db-connectivity                                     1/1     Running                      0                  4d14h   10.244.4.91       talos-5h3-83r           <none>           <none>
lawapp-monitoring        lawapp-freshness-check-29680200-5vf6r                    0/1     Pending                      0                  9h      <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-health-probe-29680735-t87vh                       0/1     CrashLoopBackOff             5 (84s ago)        15m     10.244.0.98       talos-h93-b9x           <none>           <none>
lawapp-monitoring        lawapp-legal-accuracy-check-29675520-s8ft6               0/1     Completed                    0                  3d15h   10.244.4.17       talos-5h3-83r           <none>           <none>
lawapp-monitoring        lawapp-legal-accuracy-check-29679840-s6d2t               0/1     Pending                      0                  15h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679240-vn4md                         0/1     Pending                      0                  25h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679300-vhjmv                         0/1     Pending                      0                  24h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679315-sdvp6                         0/1     Pending                      0                  23h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679330-dqhh5                         0/1     Pending                      0                  23h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29679405-rsv5p                         0/1     Pending                      0                  22h     <none>            <none>                  <none>           <none>
