LawApp dual-plane ingestion migration 084 audit
Generated: 2026-06-16 (evidence run)
Branch: release/lawapp-clean-snapshot

| Criterion | Result | Evidence |
|-----------|--------|----------|
| Migration 084 file | PASS | F:\lawapp\db\migrations\084_ingestion_jobs_dual_plane.sql |
| worker legislation | PASS | F:\lawapp\ingestion\workers |
| worker case_law | PASS | F:\lawapp\ingestion\workers |
| worker acas | PASS | F:\lawapp\ingestion\workers |
| worker rules_compiler | PASS | F:\lawapp\ingestion\workers |
| worker base_worker | PASS | F:\lawapp\ingestion\workers |
| worker unified_indexer | PASS | F:\lawapp\ingestion\workers |
| Unified indexer Neo4j optional | PASS | F:\lawapp\ingestion\workers\unified_indexer.py |
| Ollama 1024 embedder | PASS | F:\lawapp\ingestion\embeddings\ollama_embed.py |
| Config embedding_dim 1024 | PASS | F:\lawapp\ingestion\config.py |
| FCL bulk disabled | FAIL | F:\lawapp\ingestion\config.py |
| No 1536 refs in ingestion/*.py | PASS | none |
| Freshness report module | PASS | F:\lawapp\ingestion\freshness\report.py |
| Idempotency (chunk_hash conflict) | FAIL | unified_indexer.py |
| Migration 084 applied (live DB) | PASS | provision_id col=yes; no embedded chunks |

## Verdict: FAIL
